SN,Food（100 g）,Food（100 g）,Fiber， total dietary（单位：g）,Water（单位：g）,Protein（单位：g）,Sugars， total（单位：g）,Carbohydrate， by difference（单位：g）,Energy（单位：kcal）,Total lipid (fat)（单位：g）,Sodium， Na（单位：mg）,Potassium， K（单位：mg）,Zinc， Zn（单位：mg）,Iron， Fe（单位：mg）,Calcium， Ca（单位：mg）,Magnesium， Mg（单位：mg）,Phosphorus， P（单位：mg）,Vitamin D (D2 + D3)（单位：&micro;g）,Vitamin C， total ascorbic acid（单位：mg）,Vitamin B-6（单位：mg）,Vitamin A， RAE（单位：&micro;g）,Vitamin B-12（单位：&micro;g）,Folate， DFE（单位：&micro;g）,Niacin（单位：mg）,Riboflavin（单位：mg）,Thiamin（单位：mg）,Vitamin E (alpha-tocopherol)（单位：mg）,Vitamin K (phylloquinone)（单位：&micro;g）,Vitamin A， IU（单位：IU）,Vitamin D（单位：IU）,Cholesterol（单位：mg）,Fatty acids， total saturated（单位：g）,Fatty acids， total monounsaturated（单位：g）,Fatty acids， total trans（单位：g）,Fatty acids， total polyunsaturated（单位：g）,Caffeine（单位：mg）,URL,Category
10100,Pork， fresh， variety meats and by-products， ears， frozen， raw,猪肉，新鲜，各种肉类及副产品，耳朵，冻结，生,0,61.25,22.45,n/a,0.6,234,15.1,191,55,0.19,2.4,21,7,41,n/a,0,0.02,0,0.07,0,0.78,0.11,0.08,n/a,n/a,0,n/a,82,5.39,6.86,n/a,1.61,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2610,Pork Products
10101,Pork， fresh， variety meats and by-products， ears， frozen， cooked， simmered,猪肉，新鲜，各种肉类及副产品，耳朵，冻，煮熟，焖,0,72.65,15.95,n/a,0.2,166,10.8,167,40,0.2,1.5,18,7,24,n/a,0,0.01,0,0.04,0,0.56,0.07,0.02,n/a,n/a,0,n/a,90,3.86,4.91,n/a,1.15,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2611,Pork Products
10102,Pork， fresh， variety meats and by-products， feet， raw,猪肉，新鲜，各种肉类及副产品，脚，生,0,64.99,23.16,0,0,212,12.59,132,63,0.76,0.58,70,6,75,n/a,0,0.053,0,0.52,10,1.13,0.106,0.026,0.02,0,0,n/a,88,3.57,6.289,0,1.092,0,http://ndb.nal.usda.gov/ndb/foods/show/2612,Pork Products
10103,Pork， fresh， variety meats and by-products， heart， raw,猪肉，新鲜，各种肉类及副产品，心脏，生,0,76.21,17.27,0,1.33,118,4.36,56,294,2.8,4.68,5,19,169,n/a,5.3,0.39,8,3.79,4,6.765,1.185,0.613,0.63,n/a,25,n/a,131,1.16,1.02,n/a,1.12,0,http://ndb.nal.usda.gov/ndb/foods/show/2613,Pork Products
10104,Pork， fresh， variety meats and by-products， heart， cooked， braised,猪肉，新鲜，各种肉类及副产品，心脏，煮熟，焖,0,68.08,23.6,n/a,0.4,148,5.05,35,206,3.09,5.83,7,24,178,n/a,2,0.39,7,3.79,4,6.05,1.702,0.555,n/a,n/a,22,n/a,221,1.34,1.18,n/a,1.3,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2614,Pork Products
10105,Pork， fresh， variety meats and by-products， jowl， raw,猪肉，新鲜，各种肉类及副产品，面颊，生,0,22.19,6.38,0,0,655,69.61,25,148,0.84,0.42,4,3,86,n/a,0,0.09,3,0.82,1,4.535,0.236,0.386,0.29,n/a,9,n/a,90,25.26,32.89,n/a,8.11,0,http://ndb.nal.usda.gov/ndb/foods/show/2615,Pork Products
10106,Pork， fresh， variety meats and by-products， kidneys， raw,猪肉，新鲜，各种肉类及副产品，肾，生,0,80.06,16.46,n/a,0,100,3.25,121,229,2.75,4.89,9,17,204,n/a,13.3,0.44,59,8.49,42,8.207,1.697,0.34,n/a,n/a,198,n/a,319,1.04,1.07,n/a,0.26,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2616,Pork Products
10107,Pork， fresh， variety meats and by-products， kidneys， cooked， braised,猪肉，新鲜，各种肉类及副产品，肾，煮熟，焖,0,68.7,25.4,n/a,0,151,4.7,80,143,4.15,5.29,13,18,240,n/a,10.6,0.46,78,7.79,41,5.785,1.586,0.396,n/a,n/a,260,n/a,480,1.51,1.55,n/a,0.38,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2617,Pork Products
10109,Pork， fresh， variety meats and by-products， leaf fat， raw,猪肉，新鲜，各种肉类及副产品，叶肥，生,0,4.09,1.76,n/a,0,857,94.16,5,31,0.18,0.09,1,1,19,n/a,0,0.03,0,0.23,0,1.249,0.065,0.106,n/a,n/a,0,n/a,110,45.23,37.22,n/a,7.28,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2618,Pork Products
10110,Pork， fresh， variety meats and by-products， liver， raw,猪肉，新鲜，各种肉类和副产品，肝，生,0,71.06,21.39,n/a,2.47,134,3.65,87,273,5.76,23.3,9,18,288,n/a,25.3,0.69,6502,26,212,15.301,3.005,0.283,n/a,n/a,21650,n/a,301,1.17,0.52,n/a,0.87,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2619,Pork Products
10111,Pork， fresh， variety meats and by-products， liver， cooked， braised,猪肉，新鲜，各种肉类及副产品，肝，煮熟，焖,0,64.32,26.02,n/a,3.76,165,4.4,49,150,6.72,17.92,10,14,241,n/a,23.6,0.57,5405,18.67,163,8.435,2.196,0.258,n/a,n/a,17997,n/a,355,1.41,0.63,n/a,1.05,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2620,Pork Products
10112,Pork， fresh， variety meats and by-products， lungs， raw,猪肉，新鲜，各种肉类及副产品，润肺，生,0,79.52,14.08,n/a,0,85,2.72,153,303,2.03,18.9,7,14,196,n/a,12.3,0.1,0,2.75,3,3.345,0.43,0.085,n/a,n/a,0,n/a,320,0.96,0.61,n/a,0.34,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2621,Pork Products
10113,Pork， fresh， variety meats and by-products， lungs， cooked， braised,猪肉，新鲜，各种肉类及副产品，肺，煮熟，焖,0,80,16.6,n/a,0,99,3.1,81,151,2.45,16.41,8,12,186,n/a,7.9,0.08,0,2.03,2,1.364,0.322,0.079,n/a,n/a,0,n/a,387,1.09,0.7,n/a,0.38,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2622,Pork Products
10114,Pork， fresh， variety meats and by-products， mechanically separated， raw,猪肉，新鲜，各种肉类及副产品，机械分离，原料,0,56.87,15.03,n/a,0,304,26.54,50,298,2.44,4.25,315,16,200,n/a,0.7,0.37,3,0.58,3,3.171,0.201,0.697,n/a,n/a,10,n/a,77,9.82,12.26,n/a,2.44,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2623,Pork Products
10115,Pork， fresh， variety meats and by-products， pancreas， raw,猪肉，新鲜，各种肉类和副产品，胰腺，生,0,67.18,18.56,n/a,0,199,13.24,44,197,2.62,2.13,11,17,234,n/a,15.3,0.46,0,16.4,3,3.45,0.46,0.105,n/a,n/a,0,n/a,193,4.58,4.6,n/a,2.48,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2624,Pork Products
10116,Pork， fresh， variety meats and by-products， pancreas， cooked， braised,猪肉，新鲜，各种肉类及副产品，胰腺，煮熟，焖,0,60.3,28.5,n/a,0,219,10.8,42,168,4.29,2.69,16,23,291,n/a,5.7,0.44,0,17.07,5,3.206,0.658,0.092,n/a,n/a,0,n/a,315,3.73,3.75,n/a,2.03,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2625,Pork Products
10117,Pork， fresh， variety meats and by-products， spleen， raw,猪肉，新鲜，各种肉类及副产品，脾，生,0,78.43,17.86,n/a,0,100,2.59,98,396,2.54,22.32,10,13,260,n/a,28.5,0.06,0,3.26,4,5.867,0.3,0.13,n/a,n/a,0,n/a,363,0.86,0.69,n/a,0.19,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2626,Pork Products
10118,Pork， fresh， variety meats and by-products， spleen， cooked， braised,猪肉，新鲜，各种肉类及副产品，脾，煮熟，焖,0,66.7,28.2,n/a,0,149,3.2,107,227,3.54,22.23,13,15,283,n/a,11.6,0.06,0,2.76,4,5.938,0.258,0.139,n/a,n/a,0,n/a,504,1.06,0.86,n/a,0.23,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2627,Pork Products
10119,Pork， fresh， variety meats and by-products， stomach， raw,猪肉，新鲜，各种肉类及副产品，胃，生,0,73.5,16.85,0,0,159,10.14,75,140,1.85,1.01,11,11,130,0,0,0.034,0,0.3,3,2.48,0.201,0.051,0.04,0,0,0,223,4.025,3.59,0.13,0.892,0,http://ndb.nal.usda.gov/ndb/foods/show/2628,Pork Products
10120,Pork， fresh， loin， blade (chops)， bone-in， separable lean only， cooked， pan-fried,猪肉，新鲜，腰部，刀片（印章），带骨，可分精益只，煮熟，煎,0,61.13,26.38,0,0,222,12.14,88,335,3.03,0.88,46,21,237,0.6,0,0.501,3,0.72,0,8.628,0.353,0.506,0.22,0,10,23,82,2.557,5.744,0.025,1.079,0,http://ndb.nal.usda.gov/ndb/foods/show/2629,Pork Products
10121,Pork， fresh， variety meats and by-products， tongue， raw,猪肉，新鲜，各种肉类及副产品，舌头，原料,0,65.9,16.3,0,0,225,17.2,110,243,3.01,3.35,16,18,193,n/a,4.4,0.24,0,2.84,4,5.3,0.485,0.49,0.29,n/a,0,n/a,101,5.96,8.13,n/a,1.78,0,http://ndb.nal.usda.gov/ndb/foods/show/2630,Pork Products
10122,Pork， fresh， variety meats and by-products， tongue， cooked， braised,猪肉，新鲜，各种肉类及副产品，舌头，煮熟，焖,0,56.9,24.1,n/a,0,271,18.6,109,237,4.53,4.99,19,20,174,n/a,1.7,0.23,0,2.39,4,5.34,0.51,0.317,n/a,n/a,0,n/a,146,6.449,8.759,n/a,1.93,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2631,Pork Products
10123,Pork， cured， bacon， unprepared,猪肉，治好了，腊肉，毫无准备,0,44.24,12.62,1,1.28,417,39.69,662,198,1.18,0.41,5,12,144,0.4,0,0.266,11,0.5,0,4.022,0.081,0.276,0.43,0,37,16,66,13.296,17.439,0.133,6.454,0,http://ndb.nal.usda.gov/ndb/foods/show/2632,Pork Products
10128,Pork， cured， breakfast strips， raw or unheated,猪肉，治好了，早餐条，生的或加热的,0,47.41,11.74,n/a,0.7,388,37.16,987,204,1.66,0.94,8,12,137,n/a,27.2,0.21,0,0.99,3,3.65,0.18,0.475,n/a,n/a,0,n/a,69,12.91,16.79,n/a,5.55,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2633,Pork Products
10129,Pork， cured， breakfast strips， cooked,猪肉，治好了，早餐条，煮熟,0,26.93,28.95,0,1.05,459,36.7,2099,466,3.68,1.97,14,26,265,0.8,0,0.34,0,1.77,4,7.592,0.368,0.737,0.25,0,0,33,105,12.77,16.4,n/a,5.65,0,http://ndb.nal.usda.gov/ndb/foods/show/2634,Pork Products
10130,Canadian bacon， unprepared,加拿大熏肉，毫无准备,0,72.31,20.24,0.9,1.29,111,2.76,743,703,1.21,0.43,6,20,238,0.1,0,0.243,0,0.36,4,7.234,0.14,0.513,0.21,0,0,6,48,0.914,1.109,0.007,0.47,0,http://ndb.nal.usda.gov/ndb/foods/show/2635,Pork Products
10131,Pork， cured， canadian-style bacon， grilled,猪肉，治好了，加拿大样式培根，烤,0,61.7,24.24,0,1.35,185,8.44,1546,390,1.7,0.82,10,21,296,1.1,0,0.45,0,0.78,4,6.915,0.197,0.824,0.34,0,0,43,58,2.84,4.04,n/a,0.81,0,http://ndb.nal.usda.gov/ndb/foods/show/2636,Pork Products
10132,Pork， cured， feet， pickled,猪肉，治好了，脚，腌渍,0,75,11.63,0,0.01,140,10.02,946,13,0.2,0.31,32,11,87,0.4,0,0.007,11,0.21,1,0.22,0.015,0.006,0.21,0,37,16,83,2.945,5.677,0.065,0.784,0,http://ndb.nal.usda.gov/ndb/foods/show/2637,Pork Products
10134,Pork， cured， ham， boneless， extra lean (approximately 5% fat)， roasted,猪肉，治愈，火腿，去骨，瘦肉外（约5％的脂肪），烤,0,67.67,20.93,0,1.5,145,5.53,1203,287,2.88,1.48,8,14,196,0.8,0,0.4,0,0.65,3,4.023,0.202,0.754,0.25,0,0,32,53,1.81,2.62,n/a,0.54,0,http://ndb.nal.usda.gov/ndb/foods/show/2638,Pork Products
10136,Pork， cured， ham， boneless， regular (approximately 11% fat)， roasted,猪肉，治愈，火腿，去骨，定期（约11％的脂肪），烤,0,64.54,22.62,0,0,178,9.02,1500,409,2.47,1.34,8,22,281,0.8,0,0.31,0,0.7,3,6.15,0.33,0.73,0.31,0,0,32,59,3.12,4.44,n/a,1.41,0,http://ndb.nal.usda.gov/ndb/foods/show/2639,Pork Products
10137,Pork， cured， ham， extra lean (approximately 4% fat)， canned， unheated,猪肉，治愈，火腿，瘦肉多（约4％的脂肪），罐头，不加热,0,73.52,18.49,0,0,120,4.56,1255,364,1.93,0.94,6,17,224,2.3,0,0.45,0,0.82,6,5.302,0.23,0.836,0.17,0,0,93,38,1.51,2.21,n/a,0.39,0,http://ndb.nal.usda.gov/ndb/foods/show/2640,Pork Products
10138,Pork， cured， ham， extra lean (approximately 4% fat)， canned， roasted,猪肉，治愈，火腿，瘦肉多（约4％的脂肪），罐头，烤,0,69.45,21.16,n/a,0.52,136,4.88,1135,348,2.23,0.92,6,21,209,n/a,0,0.45,0,0.71,5,4.892,0.247,1.035,n/a,n/a,0,n/a,30,1.6,2.49,n/a,0.44,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2641,Pork Products
10140,Pork， cured， ham， regular (approximately 13% fat)， canned， roasted,猪肉，治愈，火腿，定期（约13％的脂肪），罐头，烤,0,60.93,20.53,n/a,0.42,226,15.2,941,357,2.5,1.37,8,17,243,n/a,14,0.3,0,1.06,5,5.3,0.26,0.82,n/a,n/a,0,n/a,62,5.04,7.07,n/a,1.78,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2642,Pork Products
10141,Pork， cured， ham， center slice， country-style， separable lean only， raw,猪肉，治愈，火腿，切片中心，乡村风格，可分精益只，生,0,55.93,27.8,0,0.3,195,8.32,2695,510,2.81,1.11,10,25,318,0.9,0,0.42,0,0.88,5,3.881,0.242,0.567,0.28,0,0,37,70,2.78,3.821,n/a,0.97,0,http://ndb.nal.usda.gov/ndb/foods/show/2643,Pork Products
10142,Pork， cured， ham， center slice， separable lean and fat， unheated,猪肉，治愈，火腿，切片中心，瘦肉和脂肪分离，不加热,0,63.46,20.17,n/a,0.05,203,12.9,1386,337,1.88,0.75,7,16,215,n/a,0,0.47,0,0.8,4,4.809,0.205,0.845,n/a,n/a,0,n/a,54,4.572,6.092,n/a,1.411,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2644,Pork Products
10146,Pork， cured， ham， patties， unheated,猪肉，治愈，火腿，肉饼，不加热,0,54.4,12.78,n/a,1.69,315,28.19,1088,239,1.57,1.05,8,10,149,n/a,0,0.16,0,1.08,3,3.014,0.154,0.46,n/a,n/a,0,n/a,70,10.13,13.26,n/a,3.04,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2645,Pork Products
10149,Pork， cured， ham， steak， boneless， extra lean， unheated,猪肉，治好了，火腿，牛排，去骨，瘦肉多，不加热,0,72.24,19.56,n/a,0,122,4.25,1269,325,2.02,1,4,19,260,n/a,32.3,0.37,0,0.79,4,5.08,0.2,0.8,n/a,n/a,0,n/a,45,1.44,1.96,n/a,0.47,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2646,Pork Products
10150,Pork， cured， ham， whole， separable lean and fat， unheated,猪肉，治愈，火腿，全麦，可分瘦肉和脂肪，不加热,0,59.71,18.49,0,0.06,246,18.52,1284,310,1.76,0.71,7,15,201,n/a,34.9,0.41,0,0.74,1,4.463,0.189,0.777,0.27,0,0,n/a,56,6.62,8.7,n/a,1.64,0,http://ndb.nal.usda.gov/ndb/foods/show/2647,Pork Products
10152,Pork， cured， ham， whole， separable lean only， unheated,猪肉，治愈，火腿，全麦，可分精益只，不加热,0,68.26,22.32,0,0.05,147,5.71,1516,371,2.04,0.81,7,18,232,0.7,0,0.53,0,0.87,4,5.252,0.226,0.932,0.2,0,0,27,52,1.92,2.62,n/a,0.66,0,http://ndb.nal.usda.gov/ndb/foods/show/2648,Pork Products
10153,Pork， cured， ham， whole， separable lean only， roasted,猪肉，治愈，火腿，全麦，可分精益只，烤,0,65.78,25.05,0,0,157,5.5,1327,316,2.57,0.94,7,22,227,0.9,0,0.47,0,0.7,4,5.02,0.254,0.68,0.26,0,0,34,55,1.84,2.53,n/a,0.63,0,http://ndb.nal.usda.gov/ndb/foods/show/2649,Pork Products
10158,USDA Commodity， pork， canned,美国农业部商品，猪肉，罐头,0,65.82,19.4,0,0.59,196,12.95,213,243,2.77,1.05,5,20,173,n/a,0,0.311,0,0.93,1,5.767,0.18,0.052,0.28,0,0,n/a,75,4.225,5.935,n/a,1.79,0,http://ndb.nal.usda.gov/ndb/foods/show/2650,Pork Products
10163,Pork， fresh， loin， center loin (chops)， boneless， separable lean only， cooked， pan-broiled,猪肉，新鲜，腰部，腰部中心（印章），去骨，可分精益只，煮熟，泛烤,0,65.07,30.02,0,0,162,4.65,91,407,1.75,0.64,6,27,242,n/a,0,0.383,2,0.63,n/a,9.303,0.24,0.608,0.2,0,5,n/a,74,1.658,2.002,0.014,0.606,0,http://ndb.nal.usda.gov/ndb/foods/show/2651,Pork Products
10164,Pork， fresh， loin， center loin (chops)， boneless， separable lean and fat， raw,猪肉，新鲜，腰部，腰部中心（印章），去骨，瘦肉和脂肪分离，生,0,65.15,21.14,0,0,201,12.96,82,345,1.31,0.48,9,23,203,0.3,0,0.336,5,0.43,0,7.413,0.203,0.615,0.16,0,16,11,59,4.413,5.349,0.081,2.05,0,http://ndb.nal.usda.gov/ndb/foods/show/2652,Pork Products
10165,Pork， cured， salt pork， raw,猪肉，治好了，咸猪肉，生,0,11,5.05,0,0,748,80.5,2684,66,0.9,0.44,6,7,52,0.2,0,0.08,0,0.29,1,1.62,0.061,0.215,0,0,0,9,86,29.38,37.94,n/a,9.4,0,http://ndb.nal.usda.gov/ndb/foods/show/2653,Pork Products
10166,Pork， cured， separable fat (from ham and arm picnic)， unheated,猪肉，治好了，可分离脂肪（从火腿和手臂野餐），不加热,0,31.06,5.68,0,0.09,579,61.41,505,105,0.8,0.39,5,6,98,0.2,0,0.03,0,0.33,1,1.82,0.068,0.241,0,0,0,8,68,22.52,29.47,n/a,6.53,0,http://ndb.nal.usda.gov/ndb/foods/show/2654,Pork Products
10167,Pork， cured， separable fat (from ham and arm picnic)， roasted,猪肉，治好了，可分离脂肪（从火腿和手臂野餐），烤,0,28.89,7.64,n/a,0,591,61.86,624,164,1.31,0.61,8,9,160,n/a,0,0.03,0,0.42,2,2.228,0.091,0.287,n/a,n/a,0,n/a,86,22.69,29.69,n/a,6.58,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2655,Pork Products
10168,Pork， cured， shoulder， arm picnic， separable lean and fat， roasted,猪肉，治好了，肩膀，手臂野餐，瘦肉和脂肪分离，烤,0,54.73,20.43,0,0,280,21.35,1072,258,2.51,0.95,10,14,221,0.7,0,0.28,0,0.93,3,4.127,0.19,0.612,0.24,0,0,29,58,7.67,10.14,n/a,2.32,0,http://ndb.nal.usda.gov/ndb/foods/show/2656,Pork Products
10169,Pork， cured， shoulder， arm picnic， separable lean only， roasted,猪肉，治好了，肩膀，手臂野餐，只可分离精益，烤,0,63.86,24.94,0,0,170,7.04,1231,292,2.94,1.08,11,16,243,0.9,0,0.37,0,1.11,4,4.798,0.226,0.727,0.26,0,0,35,48,2.36,3.23,n/a,0.81,0,http://ndb.nal.usda.gov/ndb/foods/show/2657,Pork Products
10170,Pork， cured， shoulder， blade roll， separable lean and fat， unheated,猪肉，治好了，肩膀，刀辊，瘦肉和脂肪分离，不加热,0,59.13,16.47,n/a,0,269,21.98,1250,295,2.35,0.82,7,13,199,n/a,0.3,0.26,0,1.3,3,2.72,0.22,0.54,n/a,n/a,0,n/a,53,7.939,9.755,n/a,2.334,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2658,Pork Products
10171,Pork， cured， shoulder， blade roll， separable lean and fat， roasted,猪肉，治好了，肩膀，刀辊，瘦肉和脂肪分离，烤,0,56.18,17.28,n/a,0.37,287,23.48,973,194,2.45,0.89,7,13,156,n/a,3.2,0.21,0,1.05,3,2.377,0.285,0.46,n/a,n/a,0,n/a,67,8.38,11.03,n/a,2.51,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2659,Pork Products
10173,Pork， fresh， variety meats and by-products， feet， cooked， simmered,猪肉，新鲜，各种肉类及副产品，脚，煮熟，焖,0,62.85,21.94,0,0,238,16.05,73,33,1.05,0.98,0,5,82,0,0,0.038,0,0.41,2,0.585,0.057,0.016,0.09,0,0,0,107,4.343,8.005,0,1.54,0,http://ndb.nal.usda.gov/ndb/foods/show/2660,Pork Products
10174,Pork， fresh， variety meats and by-products， tail， raw,猪肉，新鲜，各种肉类和副产品，尾巴，生,0,46.05,17.75,n/a,0,378,33.5,63,349,2.31,0.99,18,8,50,n/a,0,0.37,0,0.88,5,2.06,0.11,0.21,n/a,n/a,0,n/a,97,11.64,15.8,n/a,3.68,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2661,Pork Products
10175,Pork， fresh， variety meats and by-products， tail， cooked， simmered,猪肉，新鲜，各种肉类及副产品，尾，煮熟，焖,0,46.7,17,n/a,0,396,35.8,25,157,1.64,0.79,14,7,47,n/a,0,0.27,0,0.55,4,1.12,0.07,0.07,n/a,n/a,0,n/a,129,12.45,16.89,n/a,3.94,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2662,Pork Products
10176,Pork， fresh， loin， center loin (chops)， bone-in， separable lean only， cooked， pan-fried,猪肉，新鲜，腰部，腰部中心（印章），带骨，可分精益只，煮熟，煎,0,62.17,29.56,0,0,195,7.66,99,378,3.42,0.99,51,24,268,0.5,0,0.562,3,0.8,0,9.667,0.395,0.567,0.22,0,10,20,78,2.597,3.028,0.026,1.059,0,http://ndb.nal.usda.gov/ndb/foods/show/2663,Pork Products
10177,Pork， fresh， loin， center rib (chops)， bone-in， separable lean only， cooked， pan-fried,猪肉，新鲜，腰部，肋部中心（印章），带骨，可分精益只，煮熟，煎,0,61.14,28.84,0,0,211,9.73,88,335,3.03,0.88,45,21,237,0.5,0,0.548,3,0.79,0,9.432,0.385,0.553,0.26,0,10,21,77,2.563,5.759,0.025,1.408,0,http://ndb.nal.usda.gov/ndb/foods/show/2664,Pork Products
10178,Pork， fresh， loin， blade (chops)， bone-in， separable lean and fat， cooked， pan-fried,猪肉，新鲜，腰部，刀片（印章），带骨，瘦肉和脂肪分离，煮熟，煎,0,58.01,25.02,0,0,256,16.56,85,318,2.88,0.84,48,20,226,0.7,0,0.476,5,0.72,0,8.311,0.335,0.485,0.2,0,17,27,82,4.266,9.466,0.087,2.83,0,http://ndb.nal.usda.gov/ndb/foods/show/2665,Pork Products
10179,Pork， fresh， loin， center loin (chops)， bone-in， separable lean and fat， cooked， pan-fried,猪肉，新鲜，腰部，腰部中心（印章），带骨，瘦肉和脂肪分离，煮熟，煎,0,58.39,27.63,0,0,238,13.32,94,353,3.2,0.93,53,23,251,0.6,0,0.525,5,0.79,0,9.186,0.369,0.536,0.2,0,17,25,79,4.867,5.478,0.075,2.127,0,http://ndb.nal.usda.gov/ndb/foods/show/2666,Pork Products
10180,Pork， fresh， loin， center rib (chops)， bone-in， separable lean and fat， cooked， pan-fried,猪肉，新鲜，腰部，肋部中心（印章），带骨，瘦肉和脂肪分离，煮熟，煎,0,57.11,26.81,0,0,256,15.71,84,313,2.83,0.83,48,20,222,0.7,0,0.51,6,0.78,0,8.931,0.358,0.521,0.23,0,18,26,78,5.056,5.68,0.079,2.218,0,http://ndb.nal.usda.gov/ndb/foods/show/2667,Pork Products
10181,Pork， fresh， loin， top loin (chops)， boneless， separable lean only， cooked， pan-fried,猪肉，新鲜，腰部，腰部顶（印章），去骨，可分精益只，煮熟，煎,0,64.81,30.46,0,0,172,4.62,87,390,2.32,0.84,8,26,293,0.5,0,0.579,3,0.83,0,10.85,0.233,0.657,0.23,0,9,20,69,1.784,2.113,0.017,0.679,0,http://ndb.nal.usda.gov/ndb/foods/show/2668,Pork Products
10182,Pork， cured， ham， boneless， extra lean and regular， unheated,猪肉，治愈，火腿，去骨，瘦肉多，定期，不加热,0,66.92,18.26,0,2.28,162,8.39,1278,297,2.05,0.9,7,18,236,0.6,0,0.38,0,0.8,3,5.09,0.24,0.889,0.22,0,0,26,53,2.7,3.94,n/a,0.93,0,http://ndb.nal.usda.gov/ndb/foods/show/2669,Pork Products
10183,Pork， cured， ham， boneless， extra lean and regular， roasted,猪肉，治愈，火腿，去骨，瘦肉多，定期，烤,0,65.75,21.97,0,0.5,165,7.66,1385,362,2.63,1.4,8,19,248,0.8,0,0.35,0,0.68,3,5.324,0.28,0.739,0.28,0,0,32,57,2.61,3.74,n/a,1.07,0,http://ndb.nal.usda.gov/ndb/foods/show/2670,Pork Products
10184,Pork， cured， ham， extra lean and regular， canned， unheated,猪肉，治愈，火腿，瘦肉多，定期，罐头，不加热,0,71.12,17.97,0,0,144,7.46,1276,334,1.84,0.9,6,16,207,0.6,0,0.46,0,0.8,6,4.585,0.23,0.879,0.19,0,0,22,38,2.45,3.57,n/a,0.76,0,http://ndb.nal.usda.gov/ndb/foods/show/2671,Pork Products
10185,Pork， cured， ham， extra lean and regular， canned， roasted,猪肉，治愈，火腿，瘦肉多，定期，罐头，烤,0,66.52,20.94,0,0.49,167,8.43,1068,351,2.32,1.07,7,20,221,0.7,0,0.4,0,0.83,5,5.032,0.251,0.961,0.25,0,0,30,41,2.81,4.06,n/a,0.9,0,http://ndb.nal.usda.gov/ndb/foods/show/2672,Pork Products
10186,Pork， fresh， loin， top loin (chops)， boneless， separable lean and fat， cooked， pan-fried,猪肉，新鲜，腰部，腰部顶（印章），去骨，瘦肉和脂肪分离，煮熟，煎,0,62.62,29.36,0,0,196,7.86,86,376,2.26,0.82,12,25,283,0.6,0,0.558,4,0.82,0,10.523,0.229,0.635,0.22,0,13,23,70,3.058,3.491,0.044,1.278,0,http://ndb.nal.usda.gov/ndb/foods/show/2673,Pork Products
10187,Pork， fresh， composite of trimmed retail cuts (leg， loin， shoulder， and spareribs)， separable lean and fat， raw,猪肉，新鲜，复合修整零售削减（腿，腰，肩，和排骨），瘦肉和脂肪分离，生,0,65.11,18.95,n/a,0,216,14.95,55,335,2.01,0.86,19,21,200,n/a,0.5,0.445,2,0.66,5,4.504,0.254,0.841,n/a,n/a,7,n/a,67,5.28,6.63,n/a,1.55,n/a,http://ndb.nal.usda.gov/ndb/foods/show/2674,Pork Products
10188,Pork， fresh， composite of trimmed retail cuts (leg， loin， shoulder， and spareribs)， separable lean and fat， cooked,猪肉，新鲜，复合修整零售削减（腿，腰，肩，和排骨），瘦肉和脂肪分离，煮熟,0,58.53,26.36,0,0,238,13.89,57,341,3.06,1.11,20,24,221,0.9,0.1,0.542,2,0.7,2,6.047,0.29,0.611,0.13,0,7,38,88,4.893,5.976,0.081,1.519,0,http://ndb.nal.usda.gov/ndb/foods/show/2675,Pork Products
10189,Pork， fresh， loin， center loin (chops)， boneless， separable lean and fat， cooked， pan-broiled,猪肉，新鲜，腰部，腰部中心（印章），去骨，瘦肉和脂肪分离，煮熟，泛烤,0,59.42,26.68,0,0,229,13.6,86,366,1.6,0.62,9,25,222,0.3,0,0.355,5,0.61,0,8.403,0.234,0.55,0.17,0,16,10,75,4.89,5.932,0.081,2.198,0,http://ndb.nal.usda.gov/ndb/foods/show/2676,Pork Products
